Category ID,Category Name,Retail Name,Retail Price
9,冷凍食品_冰品_各式冰品_冰淇淋,哈根黑巧克力脆杏仁冰淇淋品脫,286
9,冷凍食品_冰品_各式冰品_冰淇淋,杜老爺超級冰淇淋-草莓,170
9,冷凍食品_冰品_各式冰品_冰淇淋,Breyers Oreo餅乾冰淇淋-473ml,189
9,冷凍食品_冰品_各式冰品_冰淇淋,Baileys巧克力奶酒冰淇淋-500ml,235
9,冷凍食品_冰品_各式冰品_冰淇淋,Haagen-Dazs哈根達斯濃脆花生醬冰淇淋品脫,286
9,冷凍食品_冰品_各式冰品_冰淇淋,Talenti薄荷巧克力冰淇淋-473ml,239
9,冷凍食品_冰品_各式冰品_冰淇淋,Halo Top 巧克力餅乾碎片冰淇淋-473ml,249
9,冷凍食品_冰品_各式冰品_冰淇淋,Talenti覆盆子雪酪-473ml,239
9,冷凍食品_冰品_各式冰品_冰淇淋,哈根達斯哈密瓜冰淇淋-392g,319
9,冷凍食品_冰品_各式冰品_冰淇淋,HALO TOP海鹽焦糖冰淇淋-473ml,249
9,冷凍食品_冰品_各式冰品_冰淇淋,HALO TOP 藍莓脆片冰淇淋-473ml,249
9,冷凍食品_冰品_各式冰品_冰淇淋,HALO TOP草莓冰淇淋-473ml,249
9,冷凍食品_冰品_各式冰品_冰淇淋,Talenti焦糖海鹽冰淇淋-473ml,239
9,冷凍食品_冰品_各式冰品_冰淇淋,Baileys草莓奶酒冰淇淋-500ml,235
9,冷凍食品_冰品_各式冰品_冰淇淋,哈根達斯經典迷你杯六入組,329
9,冷凍食品_冰品_各式冰品_冰淇淋,哈根達斯冰淇淋-芒果-392g,285
9,冷凍食品_冰品_各式冰品_冰淇淋,明治北海道紅豆冰淇淋,179
10,冷凍食品_冰品_各式冰品_其它2,老實農場檸檬冰角,135
10,冷凍食品_冰品_各式冰品_其它2,巧娜娜即食黑色珍珠粉圓,75
10,冷凍食品_冰品_各式冰品_其它2,老實農場萊姆冰角,136
10,冷凍食品_冰品_各式冰品_其它2,老實農場檸檬百香冰角,160
10,冷凍食品_冰品_各式冰品_其它2,老實農場檸檬蔓越莓冰角,160
10,冷凍食品_冰品_各式冰品_其它2,阿奇儂冰沙花生花豆,30
