category_name,product_name,unit_price
日用百貨_家庭清潔_居家清潔_除濕劑,克潮靈吊掛式除濕袋-檜木香-200gx2,69
飲料零食_精選餅乾_甜餅乾_夾心餅乾,濃。比利時巧克力法蘭酥 (奶素),67
飲料零食_精選餅乾_鹹餅乾_米果,丸什綜合堅果米果-180g,199
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,馬玉山紫山藥黑米仁 30克x12,91
美妝護理_女性衛生_衛生棉_護墊,靠得住安全瞬吸護墊香氛標準型14.5cm-30PCx2,120
飲料零食_精選餅乾_甜餅乾_奶油雞蛋口味,No Brand 奶油曲奇餅140入,220
美妝護理_個人清潔_洗髮保養_護髮乳,朵蔓頭皮淨化角質霜,399
冷凍食品_冷凍調理_水餃．麵食_其他口味水餃,家樂福素食熟水餃,89
美妝護理_個人清潔_沐浴用品_進口香皂．抗菌香皂．潔手乳,白博士抗菌洗手乳2kg,200
生鮮食品_肉品．高湯_豬．牛．羊肉_豬肉,氣炸人生冷凍豚肋條(貼體包裝)(每盒約300克),200
米油沖泡_咖啡．茶包_茶包_即溶茶,【立頓】奶茶袋裝-東方焙香烏龍,152
生鮮食品_冷藏食品_調理食品_米．麵食,蓮發素食蘿蔔糕(純素)-980g,75
日用百貨_衛浴用品_毛巾．浴巾．海灘巾_方巾,1881純棉素色毛巾4入,139
日用百貨_衛浴用品_毛巾．浴巾．海灘巾_素色浴巾,100純棉緞檔浴巾,238
飲料零食_休閒零食_豆乾．肉乾．海苔_海苔．海苔脆片,韓味不二韓國海苔酥(原味),94
日用百貨_家庭清潔_廚房清潔_廚房紙巾,可麗舒廚房紙巾-60PCx6,97
生鮮食品_人氣熟食_加工製品_素食,久代-袋裝麵筋泡75g_純素,39
飲料零食_休閒零食_瓜子．花生．堅果_堅果,Toms 杏仁果(蜂蜜奶油味)210g,279
米油沖泡_咖啡．茶包_茶包_其它,家樂福康福茶,149
日用百貨_家庭清潔_清潔工具_垃圾袋,OP花香環保袋(中)-檸檬香,68
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_三合一麥片,桂格 奇亞籽麥片-鮮奶紅茶-300g,109
米油沖泡_咖啡．茶包_茶包_其它,家樂福洋甘菊茶,149
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,馬玉山核桃榛果杏仁 30克x13,89
飲料零食_精選餅乾_烘培糕餅_中式糕餅/沙其瑪,台鳳牌鳳梨酥-全麥(蛋奶素),49
飲料零食_休閒零食_瓜子．花生．堅果_混合,嘉禾素食蠶豆-450g,75
飲料零食_茶飲．咖啡．水_礦泉水．氣泡水_氣泡水,美國LaCroix西西里檸檬風味氣泡水-355ml,39
美妝護理_個人清潔_沐浴用品_進口香皂．抗菌香皂．潔手乳,綠的潔手乳-220mlx2,90
米油沖泡_調味品．罐頭．湯品_調味粉．醬_烤肉醬．牛排醬,李錦記蜜汁烤肉醬 240g,72
生活休閒_寵物用品_狗_狗乾糧．罐頭,家樂福超值狗食罐頭(雞肉風味),620
生鮮食品_烘焙食品_西點．蛋糕．麵包_點心,現烤烏豆沙蛋黃酥禮盒8入,288
